iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
54,neutral,anger,0.34,0.11,2025-09-20 20:21:46,success
54,neutral,disgust,0.28,0.07,2025-09-20 20:21:46,fail
54,neutral,neutral,0.33,1.0,2025-09-20 20:21:46,success
54,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:47,fail
55,neutral,amused,0.31,0.07,2025-09-20 20:21:47,fail
55,neutral,anger,0.34,0.11,2025-09-20 20:21:47,success
55,neutral,disgust,0.28,0.07,2025-09-20 20:21:47,fail
55,neutral,neutral,0.33,1.0,2025-09-20 20:21:48,success
55,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:48,fail
56,neutral,amused,0.31,0.07,2025-09-20 20:21:48,fail
56,neutral,anger,0.34,0.11,2025-09-20 20:21:49,success
56,neutral,disgust,0.28,0.07,2025-09-20 20:21:49,fail
56,neutral,neutral,0.33,1.0,2025-09-20 20:21:49,success
56,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:50,fail
57,neutral,amused,0.31,0.07,2025-09-20 20:21:50,fail
57,neutral,anger,0.34,0.11,2025-09-20 20:21:50,success
57,neutral,disgust,0.28,0.07,2025-09-20 20:21:50,fail
57,neutral,neutral,0.33,1.0,2025-09-20 20:21:51,success
57,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:51,fail
58,neutral,amused,0.31,0.07,2025-09-20 20:21:51,fail
58,neutral,anger,0.34,0.11,2025-09-20 20:21:52,success
58,neutral,disgust,0.28,0.07,2025-09-20 20:21:52,fail
58,neutral,neutral,0.33,1.0,2025-09-20 20:21:52,success
58,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:53,fail
59,neutral,amused,0.31,0.07,2025-09-20 20:21:53,fail
59,neutral,anger,0.34,0.11,2025-09-20 20:21:53,success
59,neutral,disgust,0.28,0.07,2025-09-20 20:21:53,fail
59,neutral,neutral,0.33,1.0,2025-09-20 20:21:54,success
59,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:54,fail
60,neutral,amused,0.31,0.07,2025-09-20 20:21:54,fail
60,neutral,anger,0.34,0.11,2025-09-20 20:21:55,success
60,neutral,disgust,0.28,0.07,2025-09-20 20:21:55,fail
60,neutral,neutral,0.33,1.0,2025-09-20 20:21:55,success
60,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:55,fail
61,neutral,amused,0.31,0.07,2025-09-20 20:21:56,fail
61,neutral,anger,0.34,0.11,2025-09-20 20:21:56,success
61,neutral,disgust,0.28,0.07,2025-09-20 20:21:56,fail
61,neutral,neutral,0.33,1.0,2025-09-20 20:21:56,success
61,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:57,fail
62,neutral,amused,0.31,0.07,2025-09-20 20:21:57,fail
62,neutral,anger,0.34,0.11,2025-09-20 20:21:57,success
62,neutral,disgust,0.28,0.07,2025-09-20 20:21:58,fail
62,neutral,neutral,0.33,1.0,2025-09-20 20:21:58,success
62,neutral,sleepiness,0.32,0.07,2025-09-20 20:21:58,fail
63,neutral,amused,0.31,0.07,2025-09-20 20:21:59,fail
63,neutral,anger,0.34,0.11,2025-09-20 20:21:59,success
63,neutral,disgust,0.28,0.07,2025-09-20 20:21:59,fail
63,neutral,neutral,0.33,1.0,2025-09-20 20:22:00,success
63,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:00,fail
64,neutral,amused,0.31,0.07,2025-09-20 20:22:00,fail
64,neutral,anger,0.34,0.11,2025-09-20 20:22:00,success
64,neutral,disgust,0.28,0.07,2025-09-20 20:22:01,fail
64,neutral,neutral,0.33,1.0,2025-09-20 20:22:01,success
64,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:01,fail
65,neutral,amused,0.31,0.07,2025-09-20 20:22:01,fail
65,neutral,anger,0.34,0.11,2025-09-20 20:22:02,success
65,neutral,disgust,0.28,0.07,2025-09-20 20:22:02,fail
65,neutral,neutral,0.33,1.0,2025-09-20 20:22:02,success
65,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:03,fail
66,neutral,amused,0.31,0.07,2025-09-20 20:22:03,fail
66,neutral,anger,0.34,0.11,2025-09-20 20:22:03,success
66,neutral,disgust,0.28,0.07,2025-09-20 20:22:03,fail
66,neutral,neutral,0.33,1.0,2025-09-20 20:22:04,success
66,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:04,fail
67,neutral,amused,0.31,0.07,2025-09-20 20:22:04,fail
67,neutral,anger,0.34,0.11,2025-09-20 20:22:05,success
67,neutral,disgust,0.28,0.07,2025-09-20 20:22:05,fail
67,neutral,neutral,0.33,1.0,2025-09-20 20:22:05,success
67,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:05,fail
68,neutral,amused,0.31,0.07,2025-09-20 20:22:06,fail
68,neutral,anger,0.34,0.11,2025-09-20 20:22:06,success
68,neutral,disgust,0.28,0.07,2025-09-20 20:22:06,fail
68,neutral,neutral,0.33,1.0,2025-09-20 20:22:07,success
68,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:07,fail
69,neutral,amused,0.31,0.07,2025-09-20 20:22:07,fail
69,neutral,anger,0.34,0.11,2025-09-20 20:22:07,success
69,neutral,disgust,0.28,0.07,2025-09-20 20:22:08,fail
69,neutral,neutral,0.33,1.0,2025-09-20 20:22:08,success
69,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:08,fail
70,neutral,amused,0.31,0.07,2025-09-20 20:22:08,fail
70,neutral,anger,0.34,0.11,2025-09-20 20:22:09,success
70,neutral,disgust,0.28,0.07,2025-09-20 20:22:09,fail
70,neutral,neutral,0.33,1.0,2025-09-20 20:22:09,success
70,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:09,fail
71,neutral,amused,0.31,0.07,2025-09-20 20:22:10,fail
71,neutral,anger,0.34,0.11,2025-09-20 20:22:10,success
71,neutral,disgust,0.28,0.07,2025-09-20 20:22:10,fail
71,neutral,neutral,0.33,1.0,2025-09-20 20:22:10,success
71,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:11,fail
72,neutral,amused,0.31,0.07,2025-09-20 20:22:11,fail
72,neutral,anger,0.34,0.11,2025-09-20 20:22:11,success
